uri	Nom Editeur - forme retenue	Nom Editeur - forme abrégée	Nom corpus dans Istex	Site internet	Présentation de l'éditeur en français	Source	Présentation de l'éditeur en anglais	Source	Adresse	Identifiant VIAF	Identifiant IdRef	Identifiant ISNI	Identifiant dbpedia	Identifiant wikidata	Identifiant Bnf	Identifiant Library Of Congress	"Liens vers jeu ""Liste des corpus ISTEX chargés"""	Titre du jeu de données	Description	Modèle conceptuel	Date de création	Créateur	Editeur	Licence
ark:/67375/H02-RJ5JRQVP-5	Proquest	eebo	eebo	https://eebo.chadwyck.com/home	ProQuest LLC est une société mondiale des technologies de l'information basée à Ann Arbor, Michigan, fondée en 1938 sous le nom de University Microfilms by Eugene B. Power. ProQuest fournit des solutions, des applications et des produits pour les bibliothèques. Ses ressources et ses outils appuient la recherche et l'apprentissage, l'édition et la diffusion, et l'acquisition, la gestion et la découverte de collections de bibliothèques.	http://www.inist.fr	ProQuest LLC is an Ann Arbor, Michigan-based global information-content and technology company founded in 1938 as University Microfilmsby Eugene B. Power. ProQuest provides solutions, applications, and products for libraries. Its resources and tools support research and learning,[1] publishing and dissemination, and the acquisition, management and discovery of library collections.	https://en.wikipedia.org/wiki/ProQuest	789 E. Eisenhower Parkway, Ann Arbor, MI, 48108, USA	http://viaf.org/viaf/145608790	http://www.idref.fr/134101790	http://isni.org/isni/0000000098262033	http://dbpedia.org/page/ProQuest	https://www.wikidata.org/wiki/Q2111400		http://id.loc.gov/authorities/names/n2001062548.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-G60FFGKH-Q	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-2FMXGPFT-2	Oxford University Press	oup	oup	http://www.oxfordjournals.org/en/	L'Oxford University Press (OUP ou OxUP, littéralement : « Presses universitaires d'Oxford ») est une maison d'édition universitaire britannique de renom. Elle est la plus importante maison d'édition universitaire du monde, compte parmi les vingt-cinq premiers groupes éditoriaux internationaux et est le second plus ancien éditeur indépendant encore en activité après Cambridge University Press.	https://fr.wikipedia.org/wiki/Oxford_University_Press	Oxford University Press (OUP) is the largest university press in the world, and the second oldest after Cambridge University Press. It is a department of the University of Oxford and is governed by a group of 15 academics appointed by the vice-chancellor known as the delegates of the press. They are headed by the secretary to the delegates, who serves as OUP's chief executive and as its major representative on other university bodies. Oxford University has used a similar system to oversee OUP since the 17th century.	https://en.wikipedia.org/wiki/Oxford_University_Press	Great Clarendron Street, OX2 6DP, Oxford, United Kingdom	https://viaf.org/viaf/140705396/#Oxford_University_Press.	http://www.idref.fr/027414450	http://isni.org/isni/0000000122929185	http://dbpedia.org/page/Oxford_University_Press	http://www.wikidata.org/entity/Q217595	http://catalogue.bnf.fr/ark:/12148/cb12515799j	http://id.loc.gov/authorities/names/n80126136	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-GTWS0RDP-M	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-FGF2R386-Z	Institute of Physics Publishing	iop	iop	http://iopscience.iop.org/	IOP Publishing (antérieurement Institute of Physics Publishing) est la société de publication de l'Institute of Physics, organisme à but non-lucratif consacré au développement de la physique. Les excédents de gestion sont destinés aux travaux de l'institut.	https://fr.wikipedia.org/wiki/IOP_Publishing	IOP Publishing (previously named Institute of Physics Publishing) is the publishing company of the Institute of Physics. It provides publications through which scientific research is distributed worldwide, including journals, community websites, magazines, conference proceedings and books. The Institute of Physics is a scientific charity devoted to increasing the practice, understanding and application of physics.	https://en.wikipedia.org/wiki/IOP_Publishing	Temple Circus, Temple Way, BS1 6HG, Bristol, United Kingdom	http://viaf.org/viaf/152751345/	http://www.idref.fr/180078232	http://isni.org/isni/0000000404423553	http://dbpedia.org/page/Institute_of_Physics	https://www.wikidata.org/wiki/Q513283	http://catalogue.bnf.fr/ark:/12148/cb144552335	http://id.loc.gov/authorities/names/n93107473	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-4D4R3TJT-T	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-ZX4M1CKJ-Z	Numérique Premium		numerique-premium	http://www.numeriquepremium.com/content/books	Numérique Premium offre le meilleur des ebooks en Histoire et Sciences Humaines.Plus de 2000 ouvrages en français, en partenariat avec une quarantaine d'éditeurs.	http://www.numeriquepremium.com	Numerique Premium offers the best ebooks in History and Humanities. More than 2000 books in French, in partnership with forty publishers.	http://www.inist.fr	170 bis, rue du Faubourg Saint Antoine, 75 012, Paris, France								https://loaded-corpus.data.istex.fr/ark:/67375/XBH-XPK2D80W-F	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-1JLL5NJT-J	De Gruyter		degruyter-journals	http://www.degruyter.com/browse?type_0=journals	Walter de Gruyter, appelé généralement De Gruyter (en allemand Verlag Walter de Gruyter) est une maison d'édition allemande fondée en 17493, spécialisée dans les publications universitaires.	https://fr.wikipedia.org/wiki/Walter_de_Gruyter	Walter de Gruyter GmbH (brand name: De Gruyter) is a scholarly publishing house specializing in academic literature. The company has its roots in the bookstore of the Königliche Realschule in Berlin, which had been granted the royal privilege to print books by King Frederick II of Prussia in 1749.[1] In 1801 the store was taken over by Georg Reimer. In 1919, Walter de Gruyter (1862–1923) merged it with 4 other publishing houses into the company that became Verlag Walter de Gruyter & Co in 1923, and Walter de Gruyter GmbH in 2012.	https://en.wikipedia.org/wiki/Walter_de_Gruyter	Genthiner Strasse 13., D-10785, Berlin, Germany	https://viaf.org/viaf/133173073/#Walter_de_Gruyter_und_Co.	http://www.idref.fr/027810364	http://isni.org/isni/0000000117029756	http://dbpedia.org/page/Walter_de_Gruyter	https://www.wikidata.org/wiki/Q98818	http://catalogue.bnf.fr/ark:/12148/cb42495995h	http://id.loc.gov/authorities/names/n81126942	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-B4QPMMZB-D	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-K2ZBW2MB-4	Brill		brill-journals ; brill-hacco	http://booksandjournals.brillonline.com/	Brill est une maison d'édition néerlandaise œuvrant depuis 1683 (premiers ouvrages imprimés par Jordaan Luchtmans) et basée à Leyde. Connu sous diverses appellations (Luchtmans, E. J. Brill, Koninklijke Brill, Brill Academic Publishers) et doté d'un catalogue scientifique et historique bien fourni, l'éditeur compte comme sa clientèle la plus importante, les bibliothèques et institutions universitaires occidentales.	https://fr.wikipedia.org/wiki/%C3%89ditions_Brill	Brill (Euronext: BRILL) (known as E. J. Brill, Koninklijke Brill, Brill Academic Publishers) is a Dutch international academic publisher founded in 1683 in Leiden, Netherlands.	https://en.wikipedia.org/wiki/Brill_Publishers	Plantijnstraat 2, 2321 JC, Leiden, Netherlands	https://viaf.org/viaf/144427345/#E._J._Brill_(Lejda).	http://www.idref.fr/074284495	http://isni.org/isni/0000000121758505	http://dbpedia.org/page/Brill_Publishers	http://www.wikidata.org/entity/Q917031	http://catalogue.bnf.fr/ark:/12148/cb13507103f	http://id.loc.gov/authorities/names/n98028814	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-JTPD0WM6-L ; https://loaded-corpus.data.istex.fr/ark:/67375/XBH-56W3KPD5-3 	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-SWLMH5L1-1	Springer		springer	http://link.springer.com/	Springer Science+Business Media ou Springer (anc. Springer Verlag) est un groupe éditorial et de presse spécialisée d'origine allemande. Au niveau mondial, c'est le troisième groupe d’édition spécialisé dans le secteur des Sciences, Technologies et Médecine (STM).	https://fr.wikipedia.org/wiki/Springer_Science%2BBusiness_Media	Springer Publishing is an American publishing company of academic journals and books, focusing on the fields of nursing, gerontology, psychology, social work, counseling, public health, and rehabilitation (neuropsychology). d’ebooks. 	https://en.wikipedia.org/wiki/Springer_Publishing	Heidelberger Platz 3, 14197, Berlin, Germany	http://viaf.org/viaf/134381129/	http://www.idref.fr/032075006	http://isni.org/isni/0000000122886816	http://dbpedia.org/page/Springer_Publishing	https://www.wikidata.org/wiki/Q7580872	http://catalogue.bnf.fr/ark:/12148/cb14039406p	http://id.loc.gov/authorities/names/n81017178	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-3XSW68JL-F	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-QW5Q88H5-V	Wiley		wiley	http://onlinelibrary.wiley.com/	L'entreprise a été fondée en 2001, sous le nom de Blackwell Publishing, à la suite de la fusion de deux entreprises spécialisées dans la publication universitaire et basée à Oxford, Blackwell Science et Blackwell Publishers. Ces deux entreprises ont été créées au xixe siècle par la société Blackwell's, éditeur et libraire. C'est le leader mondial de la publication scientifique. En novembre 2006, John Wiley & Sons rachète Blackwell Publishing pour 572 millions de livre sterling et depuis l'entreprise est nommée Wiley-Blackwell.	https://fr.wikipedia.org/wiki/Wiley-Blackwell	Wiley-Blackwell is the international scientific, technical, medical, and scholarly publishing business of John Wiley & Sons. It was formed by the merger of John Wiley's Global Scientific, Technical, and Medical business with Blackwell Publishing, after Wiley took over the latter in 2007.	https://en.wikipedia.org/wiki/Wiley-Blackwell	111, River Street, Hoboken, NJ 07030, USA	https://viaf.org/viaf/132228666/#John_Wiley_&_Sons.	http://www.idref.fr/029971195	http://isni.org/isni/0000000406396288	http://dbpedia.org/page/Wiley-Blackwell	http://www.wikidata.org/entity/Q767319	http://catalogue.bnf.fr/ark:/12148/cb121483900	http://id.loc.gov/authorities/names/n80083764	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-L0C46X92-X	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-12K39592-G	Nature Publishing Group	npg	nature	http://www.nature.com/siteindex/index.html	Nature Publishing Group (NPG) est un groupe de presse spécialisé dans les sciences, né en 1999, et fusionné avec les éditions scientifiques Macmillan regroupant : Nature, les différentes revues de recherche Nature, les revues de spécialités NPG (auparavant Stockton Press), éditeurs de revues de pointe de la communauté scientifique, médicale et technique, ainsi que référence NPG (auparavant Macmillan Reference Ltd) et des éditeurs d'informations scientifiques de référence. Elle a été formée en 1980 par la fusion de la Chemical Society, du Royal Institute of Chemistry, de la Faraday Society et de la Society for Analytical Chemistry.	https://fr.wikipedia.org/wiki/Nature_Publishing_Group	Nature Publishing Group is a division of the international scientific publishing company Springer Nature that publishes academic journals, magazines, online databases, and services in science and medicine. Nature Publishing Group's flagship publication is Nature, a weekly multidisciplinary journal first published in 1869.	https://en.wikipedia.org/wiki/Nature_Publishing_Group	4 Crinan Street, N1 9XW, London, United Kingdom	http://viaf.org/viaf/148082960	http://www.idref.fr/074130617	http://isni.org/isni/000000010144164X 	http://fr.dbpedia.org/page/Nature_Publishing_Group	https://www.wikidata.org/wiki/Q180419	 http://catalogue.bnf.fr/ark:/12148/cb123394047	http://id.loc.gov/authorities/names/no2002037272.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-4WZF4NWT-L	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-GBTST89X-K	Emerald		emerald	http://www.emeraldinsight.com/	Emerald est un éditeur mondial associant recherche et pratique au bénéfice de la société. L’entreprise gère un portefeuille de près de 300 périodiques et plus de 2650 livres et volumes de séries de livres. Elle propose également une gamme étendue de produits en ligne et de ressources et services complémentaires à ses clients.	http://www.emeraldgrouppublishing.com/portal/fr/about.htm	Emerald is a global publisher linking research and practice to the benefit of society. The company manages a portfolio of more than 290 journals and over 2,000 books and book series volumes, as well as providing an extensive range of online products and additional customer resources and services.	http://www.emeraldgrouppublishing.com/portal/en/about.htm	Howard House, Wagon lane, Bingley, West Yorkshire, BD16 1WA, United Kingdom	http://viaf.org/viaf/268505481		http://isni.org/isni/0000000403794459	http://dbpedia.org/page/Emerald_Group_Publishing	https://www.wikidata.org/wiki/Q1335379		http://id.loc.gov/authorities/names/nb2010028805.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-C67SBDHP-R	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-7XSK0Q94-6	Cambridge		cambridge	https://www.cambridge.org/core	Cambridge University Press (ou « CUP », en français : « Presses universitaires de Cambridge ») est une maison d'édition universitaire britannique rattachée à l’université de Cambridge. Elle est, avec Oxford University Press, l'une des deux « privileged presses (en) », c'est-à-dire des maisons d'édition qui ont le droit de publier la version de la Bible autorisée en Grande-Bretagne.	https://fr.wikipedia.org/wiki/Cambridge_University_Press	Cambridge University Press (CUP) is the publishing business of the University of Cambridge. Granted letters patent by Henry VIII in 1534, it is the world's oldest publishing house and the second-largest university press in the world (after Oxford University Press).[1][2] It also holds letters patent as the Queen's Printer.	https://en.wikipedia.org/wiki/Cambridge_University_Press	University Printing House, Shaftesbury Road, Cambridge, CB2 8BS, United Kingdom	http://viaf.org/viaf/127979069/#Cambridge_university_press	https://www.idref.fr/027499812	http://isni.org/isni/0000000110880337	http://dbpedia.org/page/Cambridge_University_Press	https://www.wikidata.org/wiki/Q912887	http://catalogue.bnf.fr/ark:/12148/cb13887458q	http://id.loc.gov/authorities/names/n50059133.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-G3RCRD03-V	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-1368GWRS-X	Royal Society of Chemistry	rsc	rsc-journals ; rsc-ebooks	http://pubs.rsc.org/	La Royal Society of Chemistry est une société savante située au Royaume-Uni dont le but est « l'avancement des sciences chimiques ». Cette organisation contribue à des recherches, publie des journaux scientifiques, des livres et des bases de données, organise des conférences, des séminaires et des ateliers.	https://fr.wikipedia.org/wiki/Royal_Society_of_Chemistry	"The Royal Society of Chemistry (RSC) is a learned society (professional association) in the United Kingdom with the goal of ""advancing the chemical sciences"". It was formed in 1980 from the amalgamation of the Chemical Society, the Royal Institute of Chemistry, the Faraday Society, and the Society for Analytical Chemistry with a new Royal Charter and the dual role of learned society and professional body."	https://en.wikipedia.org/wiki/Royal_Society_of_Chemistry	Thomas Graham House, Science Park, Milton Road, Cambridge, CB4 0WF, United Kingdom	http://viaf.org/viaf/128803576	http://www.idref.fr/031663540	http://isni.org/isni/0000000120973756	http://dbpedia.org/page/Royal_Society_of_Chemistry	https://www.wikidata.org/wiki/Q905549	http://catalogue.bnf.fr/ark:/12148/cb12283621s	http://id.loc.gov/authorities/names/n81122723.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-9G49N83K-2 ; https://loaded-corpus.data.istex.fr/ ark:/67375/XBH-Z6ZBG4DQ-N	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-P08W2FQ2-9	Gale Cengage	ecco	ecco	http://gale.cengage.co.uk/product-highlights/history/eighteenth-century-collections-online/ECCO-France.aspx	Cengage (anciennement Cengage Learning jusqu'en 2016) est un groupe éditorial américain spécialisé dans les supports imprimés et numériques destinés aux marchés de l’Éducation (scolaire, universitaire et professionnelle), ainsi qu'aux bibliothèques. Le siège social est à Farmington Hills dans le Michigan.	https://fr.wikipedia.org/wiki/Cengage	Cengage is the global education and technology company built for learners. Cengage’s products and services create learning experiences that build confidence and momentum toward the future students want. Cengage is united by a single belief that every student has the potential to be unstoppable. Confident students are successful learners, so Cengage designs tools that keep them moving toward their goals. 	http://gale.cengage.co.uk/about-us.aspx	Cheriton House, North Way, SP10 5BE, Andover, United Kingdom	http://viaf.org/viaf/128296585	http://www.idref.fr/077341864	http://isni.org/isni/0000000108162467	http://dbpedia.org/page/Gale_(publisher)	http://wikidata.dbpedia.org/page/Q2077283	http://catalogue.bnf.fr/ark:/12148/cb14418733f	http://id.loc.gov/authorities/names/nr99002817.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-28JZMH20-M	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-C6NSG6CL-G	Elsevier		elsevier	https://www.elsevier.com ; http://www.sciencedirect.com/	Elsevier B.V. est un groupe éditorial, filiale de la multinationale néerlando-britannique RELX Group. Elsevier, créée en tant que Elsevier's Uitgeversmaatschappij en 1880 par Jacobus George Robbers, est l'un des plus gros éditeurs mondiaux de littérature scientifique.	https://fr.wikipedia.org/wiki/Elsevier_(%C3%A9diteur)	Elsevier is one of the world's major providers of scientific, technical, and medical information, and a technology company originally established in 1880.	https://en.wikipedia.org/wiki/Elsevier	Elsevier B.V, Radarweg 29, 1043 NX, Amsterdam, Netherlands	https://viaf.org/viaf/152166420/#Elsevier_(Amsterdam).	http://www.idref.fr/032765045	http://isni.org/isni/0000000106671508	http://dbpedia.org/page/Elsevier	http://www.wikidata.org/entity/Q746413	http://catalogue.bnf.fr/ark:/12148/cb121414808	http://id.loc.gov/authorities/names/n84058221	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-HKKZVM7B-M	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-7W6GJSM4-X	Sage		sage	http://journals.sagepub.com/	SAGE Publications est une maison d'édition fondée à New York en 1965 par Sara Miller McCune (en). La maison d'édition est spécialisée dans l'édition de revues académiques.	https://fr.wikipedia.org/wiki/SAGE_Publications	SAGE Publishing is an independent publishing company founded in 1965 in New York by Sara Miller McCune and now based in California. It publishes more than 1,000 journals, more than 800 books a year, reference works and electronic products covering business, humanities, social sciences, science, technology and medicine.	https://en.wikipedia.org/wiki/SAGE_Publications	1 Oliver's Yard, 55 City Road, EC1Y 1SP London, United Kingdom	http://viaf.org/viaf/261806653/	http://www.idref.fr/185775144	http://isni.org/isni/0000000405025717	http://dbpedia.org/page/SAGE_Publications	https://www.wikidata.org/wiki/Q251266	http://catalogue.bnf.fr/ark:/12148/cb127430277	http://id.loc.gov/authorities/names/n82029394.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-0J1N7DQT-B	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-ZD657HT6-W	British Medical Journal	bmj	bmj	http://journals.bmj.com/site/journals/index.xhtml	BMJ (anciennement BMJ Group, renommé en 2013), est un fournisseur mondial de connaissances sur les soins de santé, des journaux, du soutien à la décision clinique et de l'éducation médicale. La British Medical Association (BMA) (en français : Association des médecins britanniques), est une association professionnelle et un syndicat médical officiel du Royaume-Uni. La British Medical Association est fondée le 19 juillet 1832 sous le nom d'« Association provinciale des médecins et chirurgiens » (Provincial Medical and Surgical Association, PMSA) par Sir Charles Hastings (1794-1866). Dix ans plus tard, les effectifs de l'Association sont passés à 1350 membres et un journal hebdomadaire est lancé,The Provincial Medical and Surgical Journal, qui devient à partir de 1857 le British Medical Journal (BMJ). L'association grandit rapidement et en 1853, la PMSA s'ouvre aux médecins londoniens pour devenir, en 1856, la British Medical Association. Les étudiants en médecine y sont admis depuis la fin des années 1970. 	https://fr.wikipedia.org/wiki/British_Medical_Association	BMJ (previously BMJ Group, rebranded in 2013), is a global healthcare knowledge provider of journals, clinical decision support and medical education. It is a wholly owned subsidiary of the British Medical Association. Established in 1840 with the publication of the Provincial Medical and Surgical Journal (later the first edition of the British Medical Journal), it is now a fully commercial organisation with about 480 staff and offices based in 7 locations around the world including North America, South America, Europe, India and China.	https://en.wikipedia.org/wiki/BMJ_(company)	BMA House, Tavistock Square, WC1H 9JR, London, United Kingdom	https://viaf.org/viaf/263872909	https://www.idref.fr/031849962	http://isni.org/isni/0000000121773502	http://dbpedia.org/page/The_BMJ	https://www.wikidata.org/wiki/Q546003	http://catalogue.bnf.fr/ark:/12148/cb122988641	http://id.loc.gov/authorities/names/n96057529.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-C1C00WLX-V	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
ark:/67375/H02-N14T76M9-6	Brepols		brepols-journals ; brepols-books	http://www.brepolsonline.net/	Les éditions Brepols sont une maison d'édition internationale spécialisée en sciences humaines créée en 1796 à Turnhout (Belgique), alors chef-lieu d'arrondissement du département français des Deux-Nèthes, aujourd'hui province flamande d'Anvers.	https://fr.wikipedia.org/wiki/Brepols	Brepols is a Belgian publishing house. It was once one of the largest printing companies of the world and one of the main employers in Turnhout (Belgium). Besides its printing business, Brepols is also active as a publisher. In former days the company well known for its missals, but now it is more renowned for its agendas.	https://en.wikipedia.org/wiki/Brepols	Brepols Publishers NV, Begijnhof 67, B-2300 Turnhout (Belgium)	http://viaf.org/viaf/151044089	http://www.idref.fr/07647481X	"	
http://isni.org/isni/0000000398723241"	http://dbpedia.org/page/Brepols	https://www.wikidata.org/wiki/Q981917	http://catalogue.bnf.fr/ark:/12148/cb13509589k	http://id.loc.gov/authorities/names/no97009024.html	https://loaded-corpus.data.istex.fr/ark:/67375/XBH-G49QVQ7L-X;https://loaded-corpus.data.istex.fr/ark:/67375/XBH-C1C00WLX-V	Jeu de données liste des éditeurs	Ce jeu représente la liste des éditeurs scientifiques contractuels d’ISTEX.	https://docs.google.com/drawings/d/1Ge7AQ2skQ4QQj0N29INEi07nJnaZrWSmzLZFq1UcNpA/pub?w=960&h=720	2017-06-30	LODEX Team	ISTEX	http://www.istex.fr/wp-content/uploads/2015/02/2015_Licence-type-ISTEX.pdf
